-1.57467,-178.72977
-1.32663,-178.74398
-1.43766,-178.86281
-1.38015,-178.80531
-1.44046,-178.68764
-1.50851,-178.44618
-1.21743,-178.73756
-1.33078,-179.02942
-1.49364,-178.86397
-1.4464,-178.9137
-1.44923,-178.73756
-1.62971,-178.84879
-1.95295,-178.92142
-1.32144,-179.03633
-1.39705,-178.96521
-1.33048,-178.45092
-1.34281,-178.67008
-1.45076,-178.85233
-1.50423,-178.9137
-1.16187,-178.85115
-1.27281,-178.74014
-1.57307,-178.73108
-1.0917,-179.09378
-1.56211,-179.02942
-1.8548,-178.79553
-1.50698,-178.44776
-1.39266,-178.67825
-1.44063,-179.03338
-1.44488,-178.79922
-1.5636,-178.85468
-1.33869,-178.61598
-1.49808,-178.74526
-1.61988,-178.9137
-1.55432,-179.14951
-1.66753,-178.80531
-1.45942,-178.49496
-1.16421,-178.79058
-1.56045,-178.85701
-1.66927,-178.91923
-1.32933,-178.79922
-1.56658,-178.56221
-1.45357,-178.6174
-1.39272,-178.7943
-1.27165,-179.03041
-1.39137,-178.91148
-1.74593,-178.67418
-1.4464,-178.9137
-1.43763,-178.80531
-1.66429,-178.97991
-1.50999,-178.38652
-1.21869,-178.7943
-1.45079,-178.91036
-1.44929,-178.8535
-1.21138,-178.91702
-1.27665,-178.67825
-1.44339,-178.74271
-1.56817,-178.56074
-1.33742,-178.79182
-1.72151,-178.75034
-1.74782,-178.84761
-1.79498,-178.68095
-1.33058,-178.62444
-1.38012,-178.74781
-1.4334,-178.98094
-1.62795,-178.67554
-1.39538,-178.50113
-1.39281,-178.96839
-1.32943,-179.03041
-1.33202,-178.79676
-1.33597,-178.61881
-1.62795,-178.67554
-1.49812,-178.80288
-1.44049,-178.74526
-1.55418,-178.86166
-1.73369,-178.79922
-1.74589,-178.61598
-1.27802,-178.85115
-1.32283,-179.20789
-1.43769,-178.92032
-1.50876,-178.85233
-1.73523,-178.50876
-1.39263,-178.62022
-1.31877,-178.98094
-1.49966,-178.85934
-1.3307,-178.85584
-1.27797,-178.73498
-1.45811,-178.78809
-1.55271,-179.03535
-1.38298,-178.91812
-1.38009,-178.69031
-1.38704,-178.68363
-1.6313,-178.73108
-1.67109,-179.20627
-1.15478,-178.68497
-1.50866,-178.67825
-1.39545,-178.6174
-1.38154,-178.8041
-1.43635,-179.15124
